date,name,amount,category,status
3/15/2023,Venmo,2444.07,Others,Pending
1/9/2024,Marriott Hotels,179.04,Travel,Posted
5/31/2024,ATM Withdrawal,-2087.12,Banking & Fees,Pending
4/11/2024,PayPal,1032.44,Others,Pending
5/27/2023,Donation,2321.03,Others,Pending
6/6/2023,Starbucks,1941.45,Food & Drinks,Posted
8/12/2024,Home Depot,1708.93,Bills & Utilities,Posted
6/26/2024,PayPal,891.34,Others,Posted
9/12/2023,eBay,1231.49,Shopping,Pending
2/19/2023,KFC,31.36,Food & Drinks,Posted
12/6/2023,Disney+,278.21,Subscriptions,Pending
5/25/2024,Staples,512.64,Business Services,Pending
6/5/2023,Donation,2394.7,Others,Posted
6/7/2024,Apple Music,2009.95,Subscriptions,Posted
6/29/2024,Mortgage Payment,876.07,Insurance & Financial,Posted
3/5/2024,Costco,2943.32,Shopping,Posted
9/2/2023,KFC,975.57,Food & Drinks,Pending
2/6/2023,Verizon,924.59,Bills & Utilities,Posted
5/23/2024,ATM Withdrawal,1437.46,Banking & Fees,Posted
6/19/2024,Bank Fee,823.36,Banking & Fees,Posted
9/14/2023,YouTube Premium,1064.68,Subscriptions,Posted
2/2/2024,Wire Transfer,527.19,Banking & Fees,Posted
2/24/2023,Walmart,404.18,Shopping,Posted
7/15/2023,Netflix,1904.04,Subscriptions,Posted
10/10/2023,Apple Music,1623.34,Subscriptions,Posted
1/18/2023,Netflix,305.03,Subscriptions,Pending
8/16/2023,Automatic Payment,303.13,Business Services,Posted
6/24/2023,Miscellaneous Expense,890.69,Others,Pending
3/1/2023,Mortgage Payment,297.63,Insurance & Financial,Pending
4/12/2024,Lyft,2096.92,Travel,Posted
4/27/2024,Overdraft Fee,2238.41,Banking & Fees,Pending
9/7/2023,PG&E,438.63,Bills & Utilities,Posted
12/21/2023,Burger King,700.43,Food & Drinks,Posted
5/1/2024,Touchstone Climbing,-1174.44,Fitness & Sports,Posted
5/5/2023,Amazon,738.44,Shopping,Posted
1/29/2023,Venmo,2798.82,Others,Posted
1/27/2024,Loan Repayment,1318.28,Insurance & Financial,Pending
6/27/2023,Electricity Bill,303.12,Bills & Utilities,Posted
4/15/2023,Loan Repayment,1716.61,Insurance & Financial,Posted
1/21/2023,ATM Withdrawal,1729.05,Banking & Fees,Pending
1/22/2023,Madison Bicycle Shop,745.83,Business Services,Pending
2/23/2023,Venmo,2560.38,Others,Pending
7/20/2023,Electricity Bill,1698.44,Bills & Utilities,Posted
8/5/2024,Expedia,2227.99,Travel,Pending
4/19/2024,Health Insurance,330.92,Insurance & Financial,Posted
7/17/2023,Donation,33.19,Others,Pending
2/5/2023,Touchstone Climbing,127.32,Fitness & Sports,Pending
1/7/2024,Gym Membership,2483.02,Fitness & Sports,Pending
